wade_giles	frequency	type	chapters	first_context	pinyin	notes
Shima	19	name	ch01, ch02, ch04	2); 3941 (S244.2); 京京 5281 (S465.4, but adding yung , ``used in sacrifice,'' to Shima transcription)		Japanese name. Preserve romanization per user guidance.
Ssu-ma	9	name	ch03, ch04	o be identified in this instance were all 吳丁的 classificatory fathers --known to Ssu-ma 钱 as Yang 甲 (		LOW-FREQUENCY. May preserve as Wade-Giles.
Ming	7	name	ch01, ch04	the invention of plastromancy, but the attribution first appears in Wu-yüan of Ming times (凌純聲 [1971		LOW-FREQUENCY. May preserve as Wade-Giles.
Barnard's	7	name	ch05	s; we may assume that a considerable proportion are quite acceptable.'' See too Barnard's comments q		LOW-FREQUENCY. May preserve as Wade-Giles.
Auto-generated	5	name	ch01, ch02, ch03, ch04, ch05	% Auto-generated by scripts/06_emit_structure.py % Source: scans 020–044 % Section id: chapter/1		LOW-FREQUENCY. May preserve as Wade-Giles.
Pu-tz	5	name	ch02, ch03, ch05	seven days later—as referring to the death (?) of the same person; \listitem{8} Pu-tz'u 579 and othe		LOW-FREQUENCY. May preserve as Wade-Giles.
Fa-kao	5	name	ch03	on that may be found in the published corpus of 商 and 周 vessels,\footnote[14]{周 Fa-kao with 长 Jih-sh		LOW-FREQUENCY. May preserve as Wade-Giles.
Kuo	5	name	ch03	ses is not supplied, then the sentences should read: ``The king should follow 知 Kuo/The king should 	郭	HIGH-MEDIUM priority. Batch replacement.
Hsiung	5	name	ch04	f. S555, 556.} 17 but the generational recurrence of titles such as Fu Keng and Hsiung Ting prevents		LOW-FREQUENCY. May preserve as Wade-Giles.
Pa-li	4	name	ch01, ch05	urce oblong in cross-section, see the back of the scapula fragment published as Pa-li 10 (D). For th		LOW-FREQUENCY. May preserve as Wade-Giles.
Karlgren's	4	name	ch02, ch03	or ting, was its primary descendant, I prefer to romanize the graph as *tieng, Karlgren's archaic pr		LOW-FREQUENCY. May preserve as Wade-Giles.
Hao's	4	name	ch02	fic than those of the charge itself; for example, for the bifurcated topic ``Fu Hao's childbearing w		LOW-FREQUENCY. May preserve as Wade-Giles.
Te-k	4	name	ch02, ch04, ch05	r example, Ch'ü 万 (1960a), p. 189, and 李 颜 (1966/67) on the diviner Ho J (cf. 成 Te-k'un [1971], p. 1		LOW-FREQUENCY. May preserve as Wade-Giles.
Kao-huang-miao	3	name	ch01, ch04	t yet known,\footnote[23]{For what may be the earliest case of plastromancy, at Kao-huang-miao (Kian		LOW-FREQUENCY. May preserve as Wade-Giles.
